"Socio-Economic Objective Sector","Socio-Economic Objective Division","Socio-Economic Objective Group","Socio-Economic Objective Objective Name","Socio-Economic Objective Objective Code"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Beverages (excl. Fruit Juices)","860102"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Carcass Meat (incl. Fish and Seafood)","860103"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Flour Mill and Cereal Food","860104"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Nutraceuticals and Functional foods","860105"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Oils and Fats (incl. Margarines)","860106"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Processed Fish and Seafood Products","860107"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Processed Fruit and Vegetable Products (incl. Fruit Juices)","860108"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Processed Meat Products","860109"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Soy Products","860110"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Sugar and Confectionery Products","860111"
"Economic Development","Manufacturing","Processed Food Products and Beverages (excl. Dairy Products)","Processed Food Products and Beverages (excl. Dairy Products) not elsewhere classified","860199"
"Economic Development","Manufacturing","Dairy Products","Butter and Milk-Derived Fats and Oils (excl. Cream)","860201"
"Economic Development","Manufacturing","Dairy Products","Casein","860202"
"Economic Development","Manufacturing","Dairy Products","Cheese","860203"
"Economic Development","Manufacturing","Dairy Products","Processed Milk and Cream (incl. Powder, Evaporated and Condensed)","860204"
"Economic Development","Manufacturing","Dairy Products","Whey","860205"
"Economic Development","Manufacturing","Dairy Products","Dairy Products not elsewhere classified","860299"
"Economic Development","Manufacturing","Processed Non-Food Agriculture Products (excl. Wood, Paper and Fibre)","Essential Oils (e.g. Tea Tree, Eucalyptus, Lavender, Peppermint, Boronia, Sandlewood)","860301"
"Economic Development","Manufacturing","Processed Non-Food Agriculture Products (excl. Wood, Paper and Fibre)","Organic Fertilisers","860302"
"Economic Development","Manufacturing","Processed Non-Food Agriculture Products (excl. Wood, Paper and Fibre)","Plant Extracts (e.g. Pyrethrum, Alkaloids, Jojoba Oil)","860303"
"Economic Development","Manufacturing","Processed Non-Food Agriculture Products (excl. Wood, Paper and Fibre)","Prepared Animal Feed","860304"
"Economic Development","Manufacturing","Processed Non-Food Agriculture Products (excl. Wood, Paper and Fibre)","Processed Non-Food Agricultural Products (excl. Wood, Paper and Fibre) not elsewhere classified","860399"
"Economic Development","Manufacturing","Leather Products, Fibre Processing and Textiles","Clothing","860401"
"Economic Development","Manufacturing","Leather Products, Fibre Processing and Textiles","Cotton Ginning","860402"
"Economic Development","Manufacturing","Leather Products, Fibre Processing and Textiles","Natural Fibres, Yarns and Fabrics","860403"
"Economic Development","Manufacturing","Leather Products, Fibre Processing and Textiles","Non-Fabric Textiles (e.g. Felt)","860404"
"Economic Development","Manufacturing","Leather Products, Fibre Processing and Textiles","Processed Skins, Leather and Leather Products","860405"
"Economic Development","Manufacturing","Leather Products, Fibre Processing and Textiles","Synthetic Fibres, Yarns and Fabrics","860406"
"Economic Development","Manufacturing","Leather Products, Fibre Processing and Textiles","Wool Scouring and Top Making","860407"
"Economic Development","Manufacturing","Leather Products, Fibre Processing and Textiles","Leather Products, Fibre Processing and Textiles not elsewhere classified","860499"
"Economic Development","Manufacturing","Wood, Wood Products and Paper","Paper Products (incl. Coated Paper)","860501"
"Economic Development","Manufacturing","Wood, Wood Products and Paper","Printing and Publishing Processes","860502"
"Economic Development","Manufacturing","Wood, Wood Products and Paper","Pulp and Paper","860503"
"Economic Development","Manufacturing","Wood, Wood Products and Paper","Reconstituted Timber Products (e.g. Chipboard, Particleboard)","860504"
"Economic Development","Manufacturing","Wood, Wood Products and Paper","Wood Sawing and Veneer","860505"
"Economic Development","Manufacturing","Wood, Wood Products and Paper","Wood, Wood Products and Paper not elsewhere classified","860599"
"Economic Development","Manufacturing","Industrial Chemicals and Related Products","Industrial Gases","860601"
"Economic Development","Manufacturing","Industrial Chemicals and Related Products","Inorganic Industrial Chemicals","860602"
"Economic Development","Manufacturing","Industrial Chemicals and Related Products","Lubricants","860603"
